# Name, Student Number
# Nikolas Maier, 500461990
# Oluwatomilayo Adegbite, 500569283
Gambler #,Round #,Optimal Arm,Average reward,Times optimal action picked,Probability of Picking Optimal,Actual Probability
0,0,4,0,0,0.1,0.7079017765
0,100,4,4.8,14,0.1464509499,0.7079017765
0,200,4,9.4,28,0.1773494361,0.7079017765
0,300,4,15,51,0.2247665309,0.7079017765
0,400,4,20.9,93,0.3609308244,0.7079017765
0,500,4,27.7,132,0.3935097607,0.7079017765
0,600,4,34,162,0.3623073323,0.7079017765
0,700,4,40.4,194,0.3477073194,0.7079017765
0,800,4,45.9,230,0.396057539,0.7079017765
0,900,4,52.6,267,0.3818794656,0.7079017765
0,1000,4,59.7,305,0.3629914688,0.7079017765
0,1100,4,67,337,0.3307011925,0.7079017765
0,1200,4,73.2,381,0.3773989658,0.7079017765
0,1300,4,80.2,418,0.3519964022,0.7079017765
0,1400,4,87.1,447,0.3551965112,0.7079017765
0,1500,4,93.9,486,0.3865299351,0.7079017765
0,1600,4,100.4,521,0.368628604,0.7079017765
0,1700,4,106.8,558,0.4140112621,0.7079017765
0,1800,4,113.7,602,0.4316944047,0.7079017765
0,1900,4,120.5,649,0.4448644049,0.7079017765
0,2000,4,127.2,705,0.5173203745,0.7079017765
0,2100,4,134.8,747,0.4758638157,0.7079017765
0,2200,4,141.4,791,0.4621185944,0.7079017765
0,2300,4,147.5,830,0.445295076,0.7079017765
0,2400,4,155.1,873,0.441459825,0.7079017765
0,2500,4,161.6,919,0.4904336969,0.7079017765
0,2600,4,169.2,987,0.607335014,0.7079017765
0,2700,4,176.1,1052,0.6182323944,0.7079017765
0,2800,4,182.9,1110,0.620578802,0.7079017765
0,2900,4,189.7,1164,0.6033016298,0.7079017765
0,3000,4,197.9,1236,0.6730666277,0.7079017765
0,3100,4,204.5,1302,0.6837627097,0.7079017765
0,3200,4,211.5,1377,0.7205202517,0.7079017765
0,3300,4,218.5,1446,0.7044815191,0.7079017765
0,3400,4,225.9,1519,0.7211624072,0.7079017765
0,3500,4,232.5,1596,0.7795815976,0.7079017765
0,3600,4,239.6,1675,0.7928141533,0.7079017765
0,3700,4,246.6,1761,0.8121466128,0.7079017765
0,3800,4,253.1,1845,0.8706235207,0.7079017765
0,3900,4,259.9,1927,0.8229604695,0.7079017765
0,4000,4,266.9,2013,0.8402961388,0.7079017765
0,4100,4,273.8,2098,0.8479243542,0.7079017765
0,4200,4,280.9,2180,0.8416795114,0.7079017765
0,4300,4,287.8,2268,0.8417994782,0.7079017765
0,4400,4,294.4,2348,0.8078040358,0.7079017765
0,4500,4,301.6,2424,0.7816916607,0.7079017765
0,4600,4,308.6,2506,0.8084771251,0.7079017765
0,4700,4,315.7,2599,0.8866015345,0.7079017765
0,4800,4,322.8,2687,0.901912097,0.7079017765
