# Name, Student Number
# Nikolas Maier, 500461990
# Oluwatomilayo Adegbite, 500569283
Gambler #,Round #,Optimal Arm,Average reward,Times optimal action picked,Probability of Picking Optimal,Actual Probability
0,0,7,0,0,0.1,0.9087574564
0,100,7,4.9,13,0.1584717197,0.9087574564
0,200,7,10.4,25,0.1527802727,0.9087574564
0,300,7,16.5,45,0.2067785128,0.9087574564
0,400,7,23,68,0.2499371232,0.9087574564
0,500,7,28.9,95,0.2695849325,0.9087574564
0,600,7,35.1,127,0.2722343313,0.9087574564
0,700,7,41.9,150,0.2345355568,0.9087574564
0,800,7,47.3,173,0.2458948893,0.9087574564
0,900,7,54.1,202,0.2813449827,0.9087574564
0,1000,7,61,220,0.2167905523,0.9087574564
0,1100,7,66.6,248,0.2548522149,0.9087574564
0,1200,7,72.6,274,0.2645173092,0.9087574564
0,1300,7,79.1,304,0.2838052442,0.9087574564
0,1400,7,85.4,334,0.3023746655,0.9087574564
0,1500,7,91.1,349,0.2257542251,0.9087574564
0,1600,7,97.4,372,0.251090557,0.9087574564
0,1700,7,103.7,395,0.2512363033,0.9087574564
0,1800,7,109.9,425,0.304671468,0.9087574564
0,1900,7,116.7,461,0.3506509432,0.9087574564
0,2000,7,122.8,497,0.3498311639,0.9087574564
0,2100,7,129.2,526,0.3101894889,0.9087574564
0,2200,7,135.8,567,0.3845344617,0.9087574564
0,2300,7,143.6,614,0.4265544629,0.9087574564
0,2400,7,150.2,656,0.4247638391,0.9087574564
0,2500,7,156.7,695,0.399844203,0.9087574564
0,2600,7,164.5,741,0.4207908274,0.9087574564
0,2700,7,171.4,784,0.4121845086,0.9087574564
0,2800,7,178,822,0.3666919047,0.9087574564
0,2900,7,184.4,854,0.3469630792,0.9087574564
0,3000,7,191.4,886,0.3415619804,0.9087574564
0,3100,7,198.7,921,0.3426295693,0.9087574564
0,3200,7,205.8,952,0.3076120331,0.9087574564
0,3300,7,212.9,984,0.3063007884,0.9087574564
0,3400,7,219.9,1017,0.3196779921,0.9087574564
0,3500,7,227.4,1056,0.3675858443,0.9087574564
0,3600,7,234.7,1101,0.4038685681,0.9087574564
0,3700,7,241.9,1133,0.3439336473,0.9087574564
0,3800,7,250.1,1171,0.3523922783,0.9087574564
0,3900,7,257.5,1205,0.3336341568,0.9087574564
0,4000,7,264.8,1238,0.3496399304,0.9087574564
0,4100,7,272.6,1283,0.4002369236,0.9087574564
0,4200,7,280.6,1322,0.3751330679,0.9087574564
0,4300,7,287.9,1359,0.3699748099,0.9087574564
0,4400,7,294.9,1398,0.3662265837,0.9087574564
0,4500,7,303,1441,0.392663616,0.9087574564
0,4600,7,309.9,1477,0.3462581632,0.9087574564
0,4700,7,316.6,1499,0.2747555375,0.9087574564
0,4800,7,322.3,1523,0.2583465994,0.9087574564
0,4900,7,328.6,1539,0.2013722106,0.9087574564
0,5000,7,333.6,1555,0.1815893295,0.9087574564
1,0,1,0,0,0.1,0.984324569
1,100,1,6.1,14,0.1554230595,0.984324569
1,200,1,11.8,28,0.1744903777,0.984324569
1,300,1,17.6,48,0.2082723752,0.984324569
1,400,1,24.4,66,0.2001034378,0.984324569
1,500,1,32.2,92,0.2598588315,0.984324569
1,600,1,40.6,127,0.3139630663,0.984324569
1,700,1,48.5,162,0.360918161,0.984324569
