# Name, Student Number
# Nikolas Maier, 500461990
# Oluwatomilayo Adegbite, 500569283
Gambler #,Round #,Optimal Arm,Average reward,Times optimal action picked,Actual Probability
0,0,7,0,0,0.9097409557
0,100,7,7.2,1,0.9097409557
0,200,7,15.4,1,0.9097409557
0,300,7,23.3,1,0.9097409557
0,400,7,30.7,1,0.9097409557
0,500,7,39,1,0.9097409557
0,600,7,46.7,1,0.9097409557
0,700,7,54,1,0.9097409557
0,800,7,61.5,1,0.9097409557
0,900,7,69.3,1,0.9097409557
0,1000,7,76.8,1,0.9097409557
0,1100,7,84,1,0.9097409557
0,1200,7,91.6,1,0.9097409557
0,1300,7,98.8,1,0.9097409557
0,1400,7,107.3,1,0.9097409557
0,1500,7,114.4,1,0.9097409557
0,1600,7,121.6,1,0.9097409557
0,1700,7,128.6,1,0.9097409557
0,1800,7,136.1,1,0.9097409557
0,1900,7,143.5,1,0.9097409557
0,2000,7,150.4,1,0.9097409557
0,2100,7,158.1,1,0.9097409557
0,2200,7,165.6,1,0.9097409557
0,2300,7,173.2,1,0.9097409557
0,2400,7,181,1,0.9097409557
0,2500,7,189,1,0.9097409557
0,2600,7,196.8,1,0.9097409557
0,2700,7,204.5,1,0.9097409557
0,2800,7,211.9,1,0.9097409557
0,2900,7,219.4,1,0.9097409557
0,3000,7,226.8,1,0.9097409557
0,3100,7,234,1,0.9097409557
0,3200,7,242,1,0.9097409557
0,3300,7,249.7,1,0.9097409557
0,3400,7,257.2,1,0.9097409557
0,3500,7,264.4,1,0.9097409557
0,3600,7,272.7,1,0.9097409557
0,3700,7,280.1,1,0.9097409557
0,3800,7,287.9,1,0.9097409557
0,3900,7,295.8,1,0.9097409557
0,4000,7,303.4,1,0.9097409557
0,4100,7,310.9,1,0.9097409557
0,4200,7,318.8,1,0.9097409557
0,4300,7,326.2,1,0.9097409557
0,4400,7,333.4,1,0.9097409557
0,4500,7,341.4,1,0.9097409557
0,4600,7,348.6,1,0.9097409557
0,4700,7,356.7,1,0.9097409557
0,4800,7,363.5,1,0.9097409557
0,4900,7,371.5,1,0.9097409557
0,5000,7,379.4,1,0.9097409557
1,0,9,0,0,0.8689471728
1,100,9,5.2,1,0.8689471728
1,200,9,10.8,1,0.8689471728
1,300,9,16.5,1,0.8689471728
1,400,9,22.6,1,0.8689471728
1,500,9,29.3,1,0.8689471728
1,600,9,35.9,1,0.8689471728
1,700,9,41.9,1,0.8689471728
1,800,9,48.9,1,0.8689471728
1,900,9,55.1,1,0.8689471728
1,1000,9,62,1,0.8689471728
1,1100,9,69.1,1,0.8689471728
1,1200,9,76.4,1,0.8689471728
1,1300,9,82.5,1,0.8689471728
1,1400,9,88.9,1,0.8689471728
1,1500,9,95.2,1,0.8689471728
1,1600,9,101.5,1,0.8689471728
1,1700,9,107.4,1,0.8689471728
1,1800,9,112.7,1,0.8689471728
1,1900,9,118.8,1,0.8689471728
1,2000,9,125.2,1,0.8689471728
1,2100,9,131.6,1,0.8689471728
1,2200,9,138.3,1,0.8689471728
1,2300,9,145.8,1,0.8689471728
1,2400,9,152.4,1,0.8689471728
1,2500,9,159.1,1,0.8689471728
1,2600,9,165.8,1,0.8689471728
1,2700,9,172.2,1,0.8689471728
1,2800,9,179.1,1,0.8689471728
1,2900,9,185.5,1,0.8689471728
1,3000,9,192.3,1,0.8689471728
1,3100,9,198.4,1,0.8689471728
1,3200,9,204.3,1,0.8689471728
1,3300,9,209.8,1,0.8689471728
1,3400,9,215.9,1,0.8689471728
1,3500,9,223.1,1,0.8689471728
1,3600,9,228.9,1,0.8689471728
1,3700,9,235.5,1,0.8689471728
1,3800,9,241.4,1,0.8689471728
1,3900,9,247.9,1,0.8689471728
1,4000,9,254.6,1,0.8689471728
1,4100,9,261.6,1,0.8689471728
1,4200,9,267.5,1,0.8689471728
1,4300,9,274,1,0.8689471728
1,4400,9,279.2,1,0.8689471728
1,4500,9,285.8,1,0.8689471728
1,4600,9,292.6,1,0.8689471728
1,4700,9,298.1,1,0.8689471728
1,4800,9,304.2,1,0.8689471728
1,4900,9,309.9,1,0.8689471728
1,5000,9,316.2,1,0.8689471728
2,0,9,0,0,0.9321209901
2,100,9,7.9,82,0.9321209901
2,200,9,16.9,182,0.9321209901
2,300,9,26.3,282,0.9321209901
2,400,9,35.9,382,0.9321209901
2,500,9,45.6,482,0.9321209901
2,600,9,55.1,582,0.9321209901
2,700,9,64.4,682,0.9321209901
2,800,9,74,782,0.9321209901
2,900,9,83.3,882,0.9321209901
2,1000,9,92.6,982,0.9321209901
2,1100,9,101.8,1082,0.9321209901
2,1200,9,110.9,1182,0.9321209901
2,1300,9,120.4,1282,0.9321209901
2,1400,9,129.9,1382,0.9321209901
2,1500,9,139.5,1482,0.9321209901
2,1600,9,148.9,1582,0.9321209901
2,1700,9,158.1,1682,0.9321209901
